HYBAS_ID,area_total_ha,D1_PScore
6090078040,34542.29972997703,0.3104180398802575
6090078010,47275.51356936393,-0.020703039781357416
6090081280,44090.85594480147,0.5806558250238688
6090081290,36267.532611675546,0.5256557822935934
6090084300,9481.927683116795,0.7857658324715641
6090084310,29652.596244566917,0.6840225714307875
6090084000,487.93595874431145,0.7417954088045192
6090084140,32085.925976951803,0.9098957073376804
6090083710,26802.957590767015,0.5935984735350709
6090083810,14871.043650802332,0.6764413450426447
6090086020,8121.003273740284,0.5538863553742176
6090085920,63767.72154067925,1.0023298763326791
6090087020,963.9952217902487,0.6703351009305055
6090087030,424.9523230285362,0.6472944623176036
6090087210,66044.30639544786,1.4705107457265807
6090087250,124.278517021951,0.6711644592189319
6090087240,20935.970822398616,0.8115867937151185
6090087310,50143.06907563306,0.7623116151739985
6090086730,23175.177798687655,0.9889000792566465
6090086720,4339.19430599167,0.6726154496266323
6090087090,36742.1337922932,0.7904903852351982
6090087140,12185.798489443927,0.856736436664083
6090089070,8998.559167784106,0.4900014648494248
6090089030,15354.956086595965,0.7066889425311855
6090087200,12163.409364899504,0.873493954944984
6090087230,2592.003163708258,0.6309737774058872
6090090190,3907.243075570897,0.36572798465606293
6090090250,62101.23492331343,0.36556458517268164
6090090330,47709.93794974713,1.1517573349633743
6090090400,76337.3345287997,0.16555518604916727
6090087590,94742.60391556223,0.657398856817209
6090087630,34015.86005522212,0.3679433490587933
6090090070,15086.726000588433,0.3838928221369295
6090090180,32516.546515930004,0.23658300690113238
6090088090,17915.193731246218,1.8198511349226554
6090088100,4374.822478542712,1.9606295825204223
6090091120,57231.04286283208,-0.13734943136193342
6090091080,4433.339449983092,0.6749914510544188
6090088150,2844.6877290515663,2.0010759585539013
6090088240,18336.021224641736,1.751653356841151
6090088110,740.6610993065832,1.8480846819563228
6090088160,21521.44863637066,1.9969367304813364
6090091830,2418.577280489123,0.7246202719787501
6090091910,100044.4937146511,-0.6288358206549409
6090091460,7090.70582021485,0.7385348367097004
6090091540,33547.99928755753,0.03808081928622171
6090091860,34734.3742592354,0.22504333194930096
6090091820,25747.50264010679,0.21446740014625867
6090091010,11166.036774119399,1.3509191801457114
6090090970,45123.44060354556,1.4031828691115544
6090089340,15481.700904050958,1.8348623326721445
6090089420,36663.3406883415,1.250624200238039
6090094710,17141.910965233834,-0.5299738327455865
6090094660,40487.17151090762,-0.12407781072708408
6090091200,72504.65410617279,-0.20676310438623263
6090091210,28194.373723198514,0.428533270049327
6090096470,116.55951837420243,-0.5795871795676492
6090096440,38696.751693967664,0.10794839722992623
6090096570,15422.446618558997,0.01148195219103662
6090096580,18991.40421356438,-0.6309859537058128
6090092360,7758.6564073339905,-0.10023583038866407
6090092270,60739.77985718189,0.4953135827560565
6090093290,23484.084827434246,-0.4889794072605428
6090093300,36142.23873282025,-0.2836039839639299
6090097240,5417.51697530467,0.2794509024702173
6090097270,10184.79165413677,0.10119603241313348
6090097540,39684.45444735778,-0.2798406669837902
6090097490,37512.100134386565,-0.7868539798556298
6090094200,25109.9673479469,-0.771538703288937
6090094190,42811.3589245364,-0.7785833266499839
6090098040,9419.480914556714,0.6180957595964529
6090098020,51535.35205129623,0.5970946553923399
6090099040,20739.08414116736,0.7582295496053599
6090099070,6829.85046776399,0.8819762397544572
6090099360,40420.96312507553,0.879438456402861
6090099410,78535.5416362006,0.05262800141996597
6090100580,5856.4761070680615,1.2005297682903018
6090100470,40690.93949538688,1.1367266299928125
6090097200,40854.866680766994,-0.9700626388150686
6090097140,24444.024035010036,-0.8644714854742905
6090101970,29495.435805719,1.7385235029139239
6090101880,11000.670860682867,1.2786213131558402
6090101810,43237.46443277505,0.9548733716950171
6090101820,149.38569977014157,0.2557554467264123
6090101980,15474.188314265919,0.24947959473253606
6090101900,63237.5279428242,-0.5375677800100704
6090097280,32907.718538972695,-0.8758726900020051
6090097170,27486.35888792534,-0.9732669585238902
6090097150,14635.941213153672,-0.8379135708301394
6090103010,17138.516700378266,0.5165353612189679
6090102970,53796.30542736826,-0.17164863992415058
6090096290,21531.86192392258,-0.7900507974611559
6090096230,21262.649866028474,-0.55653603168517
6090103840,679.485947295815,0.777312190581693
6090103890,76758.79806799848,-0.3678228673442704
6090103670,16194.226965505752,1.1516741785003017
6090103640,35840.05581929174,1.4968787612731882
6090104930,9404.874489479002,0.13801886444279432
6090104920,29373.940227941708,1.4836642762397583
6090099730,53564.89379353362,-0.35604771669660595
6090099640,21844.373756310786,-0.6716278745813019
6090105130,7488.678723779154,0.8729884545554716
6090105140,12946.192687543371,0.7499945908866479
6090105910,20030.133503934245,2.001578121988875
6090105950,12945.643312801578,1.5587858871053073
6090101450,25103.81931840908,-0.6874164625953204
6090101460,22959.30038648767,-1.0364136580052725
6090106970,15844.859356467321,1.738951335161404
6090106870,1020.5348841908226,1.422226202034149
6090106880,43915.842809623005,-0.10499952552360835
6090106980,41670.85577337119,0.8860473864146567
6090108220,2290.4084840706023,1.6418892877827476
6090108280,52547.838972546626,2.5073034790345496
6090108760,17236.265399051445,1.3736497373426197
6090108810,36346.71608222628,2.425009345561534
6090108730,18759.55008404306,2.608399864808618
6090110460,26754.025342348294,2.8592198435406146
