area_total,geom_type,HYBAS_ID,D1_raw,D2_raw,D4_raw,D5_raw,area_total_ha,n_indicadores_validos,D1_norm,D2_norm,D4_norm,D5_norm,ICSHM_EO,veto_activado,categoria,Ii,p_sim,quadrant,p_fdr,significativo_FDR,LISA_cat
34541.73938407612,Polygon,6090078040,0.3104180398802575,-0.019100583213713,852.6050267883018,0.0,34542.29972997703,4,0.4155115371621233,0.3786060323263387,0.1782203493305496,1.0,0.4930844797047529,True,Crítico (veto),-0.0387335135277366,0.47,2,0.47429370629370626,False,NS
47273.98246551362,Polygon,6090078010,-0.0207030397813574,-0.1343001487013375,2683.1415372597635,7.790013745117186,47275.51356936393,4,0.3424266091031176,0.79935889382232,0.0387323427967253,0.7397031124756042,0.4800552395494418,True,Crítico (veto),0.25395958895826237,0.226,3,0.3317647058823529,False,NS
44089.187962543874,Polygon,6090081280,0.5806558250238688,0.0084001247773085,1739.3613740611836,0.0,44090.85594480147,4,0.4751583259024519,0.2781629314221887,0.0914847874655186,1.0,0.4612015111975398,True,Crítico (veto),-0.6157662108288574,0.067,2,0.1820377358490566,False,NS
36268.9033301065,MultiPolygon,6090081290,0.5256557822935934,-0.1826908584545234,26.96259051300649,0.0,36267.532611675546,4,0.4630187358458711,0.9761002687770868,0.5944511561295004,1.0,0.7583925401881146,False,Alto,0.6772377657137633,0.102,1,0.24314754098360655,False,NS
9481.927930363227,Polygon,6090084300,0.7857658324715641,-0.1020976729157284,1.4178944274902343,0.0,9481.927683116795,4,0.5204301344922773,0.6817431391387172,0.8925031129835096,1.0,0.773669096653626,False,Alto,0.3844196940348027,0.245,1,0.33283018867924524,False,NS
29652.596244566917,Polygon,6090084310,0.6840225714307875,-0.0385966526143163,25.4560897183048,0.0,29652.59624456692,4,0.4979733977564197,0.4498131324009419,0.6011940781838587,1.0,0.6372451520853051,False,Alto,0.5223059629242792,0.001,1,0.022153846153846156,True,High-High
487.93576619288615,Polygon,6090084000,0.7417954088045192,,3.562665002058441,0.0,487.93595874431145,3,0.5107249980699327,,0.8151876741546953,1.0,0.7753042240748759,False,Alto,0.4414113605368929,0.217,1,0.3317647058823529,False,NS
32083.072989365966,Polygon,6090084140,0.9098957073376804,,1375.8987219493977,0.0,32085.925976951803,3,0.5478280367455393,,0.1200069396286092,1.0,0.5559449921247162,True,Crítico (veto),-0.1705963885473367,0.064,2,0.1820377358490566,False,NS
26802.643431844313,Polygon,6090083710,0.5935984735350709,,216.6554371542544,0.0,26802.95759076701,3,0.4780150227225421,,0.344604910597635,1.0,0.6075399777733924,False,Alto,0.024075686193891957,0.349,1,0.3979842519685039,False,NS
14870.645297421643,Polygon,6090083810,0.6764413450426447,,1081.3957207599508,0.0,14871.043650802332,3,0.4963000721386648,,0.1493080434446235,1.0,0.5485360385277628,True,Crítico (veto),-0.15974072295513628,0.117,2,0.26325000000000004,False,NS
