HYBAS_ID,area_total_ha,D5_mineria_ha,D5_proporcion
6090078040,34542.299729976345,0.0,0.0
6090078010,47275.51356936,7.790013745117186,1.6477904007722964E-4
6090081280,44090.85594480254,0.0,0.0
6090081290,36267.53261167554,0.0,0.0
6090084300,9481.927683116795,0.0,0.0
6090084310,29652.596244566917,0.0,0.0
6090084000,487.93595874431145,0.0,0.0
6090084140,32085.92597695215,0.0,0.0
6090083710,26802.957590769554,0.0,0.0
6090083810,14871.043650802378,0.0,0.0
6090086020,8121.003273740284,0.0,0.0
6090085920,63767.72154067924,0.0,0.0
6090087020,963.9952217902487,0.0,0.0
6090087030,424.9523230285362,0.0,0.0
6090087210,66044.3063954479,0.0,0.0
6090087250,124.278517021951,0.0,0.0
6090087240,20935.970822398616,0.0,0.0
6090087310,50143.06907563306,0.0,0.0
6090086730,23175.177798687655,0.0,0.0
6090086720,4339.19430599167,0.0,0.0
6090087090,36742.1337922932,0.0,0.0
6090087140,12185.798489443927,0.0,0.0
6090089070,8998.559167784106,0.0,0.0
6090089030,15354.956086595965,0.0,0.0
6090087200,12163.40936489961,0.0,0.0
6090087230,2592.003163708258,0.0,0.0
6090090190,3907.243075570897,0.0,0.0
6090090250,62101.23492331343,0.0,0.0
6090090330,47709.93794974713,0.0,0.0
6090090400,76337.3345287997,0.0,0.0
6090087590,94742.60391558534,0.0,0.0
6090087630,34015.86005522212,0.0,0.0
6090090070,15086.726000588433,0.0,0.0
6090090180,32516.546515930004,0.0,0.0
6090088090,17915.193731246218,2.3952193298339837,1.3369765160040875E-4
6090088100,4374.822478542742,0.0,0.0
6090091120,57231.04286283208,0.0,0.0
6090091080,4433.339449983092,0.0,0.0
6090088150,2844.687729051573,0.0,0.0
6090088240,18336.021224641736,0.0,0.0
6090088110,740.661099306595,0.0,0.0
6090088160,21521.448636370595,0.35478486328125003,1.6485175755393826E-5
6090091830,2418.577280489123,0.0,0.0
6090091910,100044.4937146511,0.0,0.0
6090091460,7090.70582021485,0.0,0.0
6090091540,33547.99928755753,3.7275347839355457,1.1111049430950817E-4
6090091860,34734.37425922885,0.0,0.0
6090091820,25747.502640105482,0.0,0.0
6090091010,11166.036774119399,0.0,0.0
6090090970,45123.44060354556,1.1532519958496095,2.5557714137582697E-5
6090089340,15481.70090405106,0.0,0.0
6090089420,36663.3406883415,0.0,0.0
6090094710,17141.910965233834,0.0,0.0
6090094660,40487.1715109097,0.0,0.0
6090091200,72504.65410617279,0.0,0.0
6090091210,28194.373723198514,5.768582855224611,2.046004962500083E-4
6090096470,116.55951837420243,0.0,0.0
6090096440,38696.751693967664,0.0,0.0
6090096570,15422.446618558997,0.0,0.0
6090096580,18991.40421356438,0.0,0.0
6090092360,7758.6564073339905,0.0,0.0
6090092270,60739.77985717778,4.259358294677732,7.012469101292588E-5
6090093290,23484.084827434246,0.0,0.0
6090093300,36142.23873282102,0.0,0.0
6090097240,5417.51697530467,0.0,0.0
6090097270,10184.79165413677,0.0,0.0
6090097540,39684.45444735778,0.0,0.0
6090097490,37512.100134386565,0.7994062438964842,2.1310623533009955E-5
6090094200,25109.967347946396,1.9537049438476561,7.780595318087655E-5
6090094190,42811.35892453643,0.0,0.0
6090098040,9419.480914556714,0.0,0.0
6090098020,51535.3520512884,0.7106705810546875,1.3789962671593324E-5
6090099040,20739.08414116736,0.7996740417480468,3.855879248595569E-5
6090099070,6829.85046776399,0.0,0.0
6090099360,40420.96312507553,0.0,0.0
6090099410,78535.5416362006,0.0,0.0
6090100580,5856.4761070680615,0.0,0.0
6090100470,40690.93949538687,0.0,0.0
6090097200,40854.866680766994,0.3552977844238281,8.696584110775952E-6
6090097140,24444.024035010036,0.0,0.0
6090101970,29495.435805719,0.0,0.0
