HYBAS_ID,area_total_ha,D4_perdida_ha,D4_proporcion
6090078040,34542.29972997703,852.6050267883018,0.024682925961886114
6090078010,47275.51356936393,2683.1415372597635,0.05675541807331156
6090081280,44090.85594480147,1739.3613740611836,0.039449480777572946
6090081290,36267.532611675546,26.962590513006486,7.434360313865538E-4
6090084300,9481.927683116795,1.4178944274902345,1.495365156617773E-4
6090084310,29652.596244566917,25.456089718304796,8.584776020402927E-4
6090084000,487.93595874431145,3.562665002058441,0.007301501228208006
6090084140,32085.925976951803,1375.8987219493977,0.042881689714603946
6090083710,26802.957590767015,216.65543715425434,0.008083266050791613
6090083810,14871.043650802332,1081.3957207599508,0.07271821306916859
6090086020,8121.003273740284,1.3298495910644532,1.637543473679657E-4
6090085920,63767.72154067925,938.0037307246158,0.01470969493752786
6090087020,963.9952217902487,0.0,0.0
6090087030,424.9523230285362,0.0,0.0
6090087210,66044.30639544786,3688.454987185459,0.055848190230061795
6090087250,124.278517021951,0.0,0.0
6090087240,20935.970822398616,1487.072112621404,0.07102952737354987
6090087310,50143.06907563306,1205.4041564298632,0.024039297527075926
6090086730,23175.177798687655,986.3308265325842,0.042559795445816916
6090086720,4339.19430599167,17.111641992187515,0.003943506740078296
6090087090,36742.1337922932,3321.003144504766,0.09038677947445063
6090087140,12185.798489443927,368.1907305015199,0.030214739790787523
6090089070,8998.559167784106,77.65181024337474,0.008629360411539805
6090089030,15354.956086595965,561.5442814847115,0.03657088163051856
6090087200,12163.409364899504,125.17027638983028,0.010290722990137927
6090087230,2592.003163708258,141.20380119528377,0.054476708660058146
6090090190,3907.243075570897,43.429661350552315,0.0111151675261992
6090090250,62101.23492331343,216.44499910756969,0.003485357406738365
6090090330,47709.93794974713,2572.14378611673,0.053912117614279206
6090090400,76337.3345287997,345.2061387599581,0.004522114125293732
6090087590,94742.60391556223,451.1731734076057,0.004762093870775457
6090087630,34015.86005522212,238.76256401819535,0.0070191541131279
6090090070,15086.726000588433,71.14771195068349,0.004715914635680962
