HYBAS_ID,area_total_ha,D2_NDTI
6090000100,4138.563943783199,-0.1454515026763711
6090000130,26080.644404639574,-0.082429185057442
6090000140,1178.8272355921922,-0.1356299392992516
6090000150,27238.609164135563,-0.0873767815250629
6090000160,14275.180881287908,-0.0967349677610839
6090000170,58135.41641922402,-0.0762067806760417
6090000180,2740.903902372496,-0.0344621414972348
6090000200,126.05975490492465,-0.0147438255614167
6090000210,40188.999200636,-0.0437658976879108
6090034390,707.6968761550313,-0.0086845029610342
6090034400,3723.6392517347062,-0.0195696434500734
6090034410,2010.2271262051936,
6090034420,429.0238636290724,
6090034430,450.1448883266636,
6090034440,200.9994831060464,
6090078010,47275.51356936393,-0.1343001487013375
6090078040,34542.29972997703,-0.019100583213713
6090080550,220.9501710772139,
6090081180,2567.499562163103,
6090081280,44090.85594480147,0.0084001247773085
6090081290,36267.532611675546,-0.1826908584545234
6090082590,5330.674339499646,-0.0514758031585296
6090082720,105.8635656504216,
6090082800,482.734121392417,
6090082810,201.31364726406403,
6090083710,26802.95759076701,
6090083810,14871.043650802332,
6090084000,487.93595874431145,
6090084140,32085.925976951803,
6090084260,169.5735984977833,
6090084300,9481.927683116795,-0.1020976729157284
6090084310,29652.59624456692,-0.0385966526143163
6090085920,63767.72154067925,-0.0357448772248166
6090086020,8121.003273740284,-0.0064472315657008
6090086490,1009.9542011879644,-0.1567430025445292
6090086720,4339.19430599167,-0.1269860567442271
6090086730,23175.17779868765,-0.1079478832692107
6090087020,963.9952217902488,-0.0767722443597781
6090087030,424.9523230285362,0.0025823183042683
6090087090,36742.1337922932,-0.107518042140648
6090087140,12185.798489443929,-0.1351434108878244
6090087200,12163.409364899504,-0.119177021288362
6090087210,66044.30639544786,-0.0394770009677991
6090087230,2592.003163708258,-0.121323692443215
6090087240,20935.970822398616,-0.0909986222267694
6090087250,124.278517021951,0.0131888764832468
6090087310,50143.06907563306,0.0034807174152863
6090087590,94742.60391556224,-0.0950346570376081
6090087630,34015.86005522212,-0.1892344589956142
6090088090,17915.193731246218,-0.0202075807400021
6090088100,4374.822478542712,-0.0242874139256421
6090088110,740.6610993065832,0.0077341370310852
6090088150,2844.6877290515663,-0.0118889030160934
6090088160,21521.44863637066,0.0056411630734169
6090088240,18336.021224641736,-0.0673909867732003
6090088570,198.5988948355566,
6090089030,15354.956086595965,
6090089070,8998.559167784106,-0.0459724950884086
6090089340,15481.70090405106,-0.0446152516468853
6090089410,361.0571415265532,
6090089420,36663.3406883415,-0.0221327144648701
6090090070,15086.726000588433,
6090090180,32516.546515930004,-0.1160363872228279
6090090190,3907.243075570897,-0.0856718620943946
6090090250,62101.23492331343,
6090090330,47709.93794974713,-0.0055206171065081
6090090400,76337.3345287997,-0.0186895395747632
6090090600,390.5786125643496,
6090090970,45123.44060354556,-0.0348825033834695
6090091010,11166.0367741194,-0.0055828982496867
6090091080,4433.339449983092,-0.0207963052122757
6090091120,57231.04286283208,-0.0040379194385374
6090091200,72504.65410617279,-0.0328385409727262
6090091210,28194.373723198514,0.0106567864617613
6090091460,7090.70582021485,-0.0989862614977727
6090091540,33547.99928755753,-0.0410543870847781
6090091820,25747.50264010548,
6090091830,2418.577280489123,-0.0876026346944387
6090091860,34734.37425922885,
6090091910,100044.4937146511,-0.0057822988518557
6090092270,60739.77985717778,0.0214611364394529
6090092360,7758.6564073339905,0.0007894381012738629
6090093290,23484.08482743425,0.0023682556978187
6090093300,36142.23873282102,-0.0317992665560765
6090094190,42811.35892453643,-0.0955314725969289
6090094200,25109.9673479464,-0.0048930196946465
6090094660,40487.1715109097,-0.0290286832487064
6090094710,17141.910965233834,-0.0043361656362674
6090096230,21262.649866028474,-0.0059993604602125
6090096290,21531.86192392258,-0.013881802735679
6090096440,38696.751693967664,-0.0124599856736669
6090096470,116.55951837420244,-0.0212605884652528
6090096570,15422.446618558995,-0.0319000042413014
6090096580,18991.40421356438,-0.0028933394376238
6090097140,24444.02403501004,-0.0252824790279469
6090097150,14635.941213153672,-0.0444763900930586
6090097170,27486.35888792534,-0.01013600760255
6090097200,40854.866680766994,-0.0938949176784058
6090097240,5417.51697530467,-0.0847911712169281
6090097270,10184.79165413677,-0.0349372558164604
6090097280,32907.718538972695,-0.0572719237565577
6090097490,37512.100134386565,-0.0517247287682127
6090097540,39684.45444735778,0.00011907363675831864
6090098020,51535.3520512884,-0.0228154424544928
6090098040,9419.480914556714,-0.0420716179494763
6090099040,20739.08414116736,-0.0257300809908585
6090099070,6829.85046776399,-0.1202815445549415
6090099360,40420.96312507553,-0.0205111113779828
6090099410,78535.5416362006,-0.0330185977398285
6090099560,254.30992785299463,
6090099640,21844.373756310888,-0.1050217124307798
6090099730,53564.89379353356,-0.0492299915628871
6090099740,402.6805134081844,
6090100470,40690.93949538687,-0.0102045080723538
6090100580,5856.4761070680615,-0.0312180698854662
6090101450,25103.81931840908,0.0320141164608016
6090101460,22959.30038648767,-0.0909889083079874
6090101810,43237.46443277505,-0.0151316346779301
6090101820,149.38569977014157,-0.0113896948075372
6090101880,11000.670860682869,-0.0113209329502521
6090101900,63237.5279428242,-0.0510498410890272
6090101910,634.5337820085153,
6090101970,29495.435805719,-0.0188559302202308
6090101980,15474.18831426592,-0.0345782747775622
6090102970,53796.30542736826,-0.1190791085548124
6090103010,17138.516700378266,-0.0360449531801501
6090103640,35840.05581929174,-0.0176607699021477
6090103670,16194.226965505752,-0.0507211260332017
6090103840,679.485947295815,-0.0353798642941245
6090103890,76758.79806799848,-0.1027892450064688
6090104920,29373.940227941708,-0.0140826688061853
6090104930,9404.874489479002,-0.0123647858779177
6090105130,7488.678723779154,-0.0097691331571592
6090105140,12946.192687543373,-0.0234209058346559
6090105890,979.7684972821404,
6090105910,20030.133503934245,-0.0077789826087727
6090105950,12945.643312801578,-0.0179865859464221
6090106510,2179.6239315180824,
6090106870,1020.5348841908226,0.0209640651931089
6090106880,43915.842809623005,-0.0608448053054655
6090106970,15844.85935646732,0.0017295255965031
6090106980,41670.85577337119,-0.0795694637206989
6090107480,1471.5347543282,-0.0041488131673808
6090107630,32458.099915694045,-0.0168680927395461
6090107760,28238.02528712297,-0.0501035730542472
6090108090,14463.049553364948,-0.1175757258812204
6090108220,2290.4084840706023,0.0011648625056948
6090108230,7334.430106422981,-0.1389910791910157
6090108280,52547.83897254663,-0.0308534455490711
6090108730,18759.55008404306,0.0845594376829109
6090108760,17236.265399051445,-0.0094052981065519
6090108810,36346.71608222628,-0.1116959878385649
6090109750,715.6584875949649,
6090110380,26482.103955213865,-0.0193423437147782
6090110460,26754.025342348294,0.0422230081376093
6090111270,17204.396665205863,-0.1449654820158282
6090111410,63450.14863090327,-0.0937341400864358
6090111660,1654.1747197718037,-0.1346558568924185
6090111750,77161.00589433344,-0.1212772195201871
6090112830,13439.03848819422,-0.0026956451269624
