HYBAS_ID,D1_raw,D2_raw,D4_raw,D5_raw,area_total_ha,n_indicadores_validos,D1_norm,D2_norm,D4_norm,D5_norm,ICSHM_EO,veto_activado,categoria
6090000100,-0.4840977671846752,-0.1454515026763711,82.35707733611453,0.0,4138.563943783199,4,0.2401462881105546,0.8400879024317667,0.4614626220869382,1.0,0.635424203157315,False,Alto
6090000130,-0.488621744189257,-0.082429185057442,826.6054775970099,1.4149864929199218,26080.644404639574,4,0.23914775749976303,0.609906300929792,0.181986469265358,0.8944146090005216,0.48136378417385867,True,Crítico (veto)
6090000140,-0.7500576855241832,-0.1356299392992516,40.227297684230365,0.0,1178.8272355921922,4,0.18144370862426507,0.8042157975518998,0.5471819516825773,1.0,0.6332103644646856,True,Crítico (veto)
6090000150,-0.598797189806617,-0.0873767815250629,314.59001528648344,0.0,27238.609164135563,4,0.2148298719545647,0.6279768150195568,0.29936929437422055,1.0,0.5355439953370855,False,Medio
6090000160,-0.4895333273712847,-0.0967349677610839,590.0213635064817,0.0,14275.180881287908,4,0.23894655318094904,0.662156489400717,0.22297938370214454,1.0,0.5310206065709526,False,Medio
6090000170,-0.3490838578761571,-0.0762067806760417,1432.8223849127955,2.3900722839355466,58135.41641922402,4,0.2699465106118285,0.5871797008963868,0.11507463072025781,0.8537995033893874,0.45650008640446516,True,Crítico (veto)
6090000180,0.3104002246560473,-0.0344621414972348,4.247805505371096,0.0,2740.903902372496,4,0.41550760499211137,0.4347123169071033,0.7981538106722488,1.0,0.6620934331428658,False,Alto
6090000200,0.3702509041383545,-0.0147438255614167,0.0,0.0,126.05975490492465,4,0.4287178258838684,0.36269348750649644,1.0,1.0,0.6978528283475912,False,Alto
6090000210,0.4981315231123086,-0.0437658976879108,111.73672670431674,0.0,40188.999200636,4,0.456943591055339,0.4686931919504941,0.42470222653457956,1.0,0.5875847523851032,False,Medio
6090034390,1.7287677040699732,-0.0086845029610342,0.0,0.0,707.6968761550313,4,0.7285691754005412,0.340562524494209,1.0,1.0,0.7672829249736876,False,Alto
6090034400,0.599013244354694,-0.0195696434500734,0.444078271484375,0.0,3723.6392517347062,4,0.47921016903039004,0.38031921966196125,0.9552586420331467,1.0,0.7036970076813744,False,Alto
6090034410,0.464917405221001,,0.0,0.0,2010.2271262051936,3,0.4496125826546953,,1.0,1.0,0.8165375275515651,False,Seguro
6090034420,0.1381736284406046,,0.0,0.0,429.0238636290724,3,0.3774938113456412,,1.0,1.0,0.7924979371152138,False,Alto
6090034430,-0.0536847603161646,,0.0,0.0,450.1448883266636,3,0.335146895365134,,1.0,1.0,0.7783822984550447,False,Alto
6090034440,0.2137573998070269,,0.0,0.0,200.9994831060464,3,0.39417663473576936,,1.0,1.0,0.7980588782452566,False,Alto
6090078010,-0.0207030397813574,-0.1343001487013375,2683.1415372597635,7.790013745117186,47275.51356936393,4,0.3424266091031176,0.79935889382232,0.03873234279672533,0.7397031124756042,0.4800552395494418,True,Crítico (veto)
6090078040,0.3104180398802575,-0.019100583213713,852.6050267883018,0.0,34542.29972997703,4,0.4155115371621233,0.3786060323263387,0.17822034933054964,1.0,0.4930844797047529,True,Crítico (veto)
6090080550,0.3820845728675894,,0.0,0.0,220.9501710772139,3,0.43132974907714283,,1.0,1.0,0.8104432496923809,False,Seguro
6090081180,0.3959758370651284,,46.5225485781922,0.0,2567.499562163103,3,0.4343958240173529,,0.529880155246239,1.0,0.6547586597545306,False,Alto
