HYBAS_ID,n_indicadores_validos,confiabilidad,ICSHM_EO,categoria
6090093300,4,Verde (4 indicadores),0.4786103336654717,Medio
6090094190,4,Verde (4 indicadores),0.513285247225312,Crítico (veto)
6090094200,4,Verde (4 indicadores),0.4260246793950581,Crítico (veto)
6090094660,4,Verde (4 indicadores),0.5207161647863622,Medio
6090094710,4,Verde (4 indicadores),0.5196395848318874,Medio
6090096230,4,Verde (4 indicadores),0.4579533186304674,Medio
6090096290,4,Verde (4 indicadores),0.458283854686534,Crítico (veto)
6090096440,4,Verde (4 indicadores),0.5587943310566311,Medio
6090096470,4,Verde (4 indicadores),0.651391274015944,Alto
6090096570,4,Verde (4 indicadores),0.6160892437599581,Alto
6090096580,4,Verde (4 indicadores),0.5121037252479598,Medio
6090097140,4,Verde (4 indicadores),0.493602385208975,Crítico (veto)
6090097150,4,Verde (4 indicadores),0.4735237675896531,Crítico (veto)
6090097170,4,Verde (4 indicadores),0.4801136431467439,Crítico (veto)
6090097200,4,Verde (4 indicadores),0.4966358121083277,Crítico (veto)
6090097240,4,Verde (4 indicadores),0.6523395239474883,Alto
6090097270,4,Verde (4 indicadores),0.6479546541413941,Alto
6090097280,4,Verde (4 indicadores),0.4978513219188337,Crítico (veto)
6090097490,4,Verde (4 indicadores),0.4865047730530487,Crítico (veto)
6090097540,4,Verde (4 indicadores),0.5218540760098422,Medio
6090098020,4,Verde (4 indicadores),0.559188329018442,Medio
6090098040,4,Verde (4 indicadores),0.6438661768612388,Alto
6090099040,4,Verde (4 indicadores),0.6215520332784842,Alto
6090099070,4,Verde (4 indicadores),0.7458831989618976,Alto
6090099360,4,Verde (4 indicadores),0.6292971927613944,Alto
6090099410,4,Verde (4 indicadores),0.6099962060567862,Alto
6090099560,3,Amarillo (2-3 indicadores),0.7845531550815714,Alto
6090099640,4,Verde (4 indicadores),0.56746375028906,Crítico (veto)
6090099730,4,Verde (4 indicadores),0.4921265956031714,Medio
6090099740,3,Amarillo (2-3 indicadores),0.781521396116765,Alto
6090100470,4,Verde (4 indicadores),0.619780950848584,Alto
6090100580,4,Verde (4 indicadores),0.6531587415274259,Alto
6090101450,4,Verde (4 indicadores),0.4213616217730863,Crítico (veto)
6090101460,4,Verde (4 indicadores),0.5037513419565276,Crítico (veto)
6090101810,4,Verde (4 indicadores),0.6242843318135638,Alto
6090101820,4,Verde (4 indicadores),0.6884723370866874,Alto
6090101880,4,Verde (4 indicadores),0.6732707111739193,Alto
6090101900,4,Verde (4 indicadores),0.4675668804623567,Medio
6090101910,3,Amarillo (2-3 indicadores),0.6392257400506676,Crítico (veto)
6090101970,4,Verde (4 indicadores),0.669188734723675,Alto
6090101980,4,Verde (4 indicadores),0.7021037532658196,Alto
6090102970,4,Verde (4 indicadores),0.5073877225970478,Medio
6090103010,4,Verde (4 indicadores),0.4458081805458792,Medio
6090103640,4,Verde (4 indicadores),0.6567440580201617,Alto
6090103670,4,Verde (4 indicadores),0.694515968596257,Alto
6090103840,4,Verde (4 indicadores),0.7391571102747883,Alto
6090103890,4,Verde (4 indicadores),0.4827656384381673,Medio
6090104920,4,Verde (4 indicadores),0.6345839312495939,Alto
6090104930,4,Verde (4 indicadores),0.5077604812460125,Medio
6090105130,4,Verde (4 indicadores),0.6502152502266568,Alto
6090105140,4,Verde (4 indicadores),0.5047833042549165,Medio
6090105890,3,Amarillo (2-3 indicadores),0.6185290474510822,Crítico (veto)
6090105910,4,Verde (4 indicadores),0.7266171838420357,Alto
6090105950,4,Verde (4 indicadores),0.6855245165591088,Alto
6090106510,3,Amarillo (2-3 indicadores),0.4973209685763933,Crítico (veto)
6090106870,4,Verde (4 indicadores),0.6088788764865043,Alto
6090106880,4,Verde (4 indicadores),0.3472731938758315,Bajo
6090106970,4,Verde (4 indicadores),0.5358699426495066,Medio
6090106980,4,Verde (4 indicadores),0.470791531672477,Medio
6090107480,4,Verde (4 indicadores),0.7992044442524203,Alto
6090107630,4,Verde (4 indicadores),0.3871891905802355,Crítico (veto)
6090107760,4,Verde (4 indicadores),0.5767603625540666,Crítico (veto)
6090108090,4,Verde (4 indicadores),0.661797871995671,Alto
6090108220,4,Verde (4 indicadores),0.6188223820730872,Alto
6090108230,4,Verde (4 indicadores),0.6558878378714263,Alto
6090108280,4,Verde (4 indicadores),0.668511039230406,Alto
6090108730,4,Verde (4 indicadores),0.3734799961729805,Crítico (veto)
6090108760,4,Verde (4 indicadores),0.486626749507024,Medio
6090108810,4,Verde (4 indicadores),0.5908719218476396,Medio
6090109750,3,Amarillo (2-3 indicadores),0.992448390383458,Seguro
6090110380,4,Verde (4 indicadores),0.6690587073017277,Alto
6090110460,4,Verde (4 indicadores),0.3826267627745771,Crítico (veto)
6090111270,4,Verde (4 indicadores),0.6154727226013263,Alto
6090111410,4,Verde (4 indicadores),0.5864350715612624,Medio
6090111660,4,Verde (4 indicadores),0.792420627275722,Alto
6090111750,4,Verde (4 indicadores),0.4657230428728042,Medio
6090112830,4,Verde (4 indicadores),0.4383483660030105,Crítico (veto)
6090112900,4,Verde (4 indicadores),0.377629332332124,Crítico (veto)
6090113430,4,Verde (4 indicadores),0.6630719876187465,Alto
6090113480,4,Verde (4 indicadores),0.7308252504398617,Alto
6090114410,3,Amarillo (2-3 indicadores),0.9553514916448616,Seguro
6090114630,3,Amarillo (2-3 indicadores),0.72630074230408,Alto
6090117510,4,Verde (4 indicadores),0.6672718923679318,Alto
6090118350,4,Verde (4 indicadores),0.8033871429850561,Seguro
6090118450,4,Verde (4 indicadores),0.8359790663413422,Seguro
6090119240,4,Verde (4 indicadores),0.705232046429332,Alto
6091001330,4,Verde (4 indicadores),0.552956326649323,Crítico (veto)
